wilayah,provinsi,nama_kepala_daerah,gender_kepala_daerah,tempat_lahir_kepala_daerah,tanggal_lahir_kepala_daerah,pekerjaan_kepala_daerah,nama_wakil_kepala_daerah,gender_wakil_kepala_daerah,tempat_lahir_wakil,tanggal_lahir_wakil,pekerjaan_wakil_kepala_daerah,jumlah_dukungan,status_petahana,partai_pendukung,media_sosial_facebook,media_sosial_twitter,media_sosial_instagram
PROVINSI JAWA TENGAH,JAWA TENGAH,"H. GANJAR PRANOWO, S.H., M.IP",LAKI-LAKI,KARANGANYAR,28/10/1968,GUBERNUR,H. TAJ YASIN,LAKI-LAKI,REMBANG,2/7/1983,ANGGOTA DPRD PROVINSI JAWA TENGAH,0,YA,"PDI-P, PPP, DEMOKRAT, NASDEM ",,,
PROVINSI JAWA TENGAH,JAWA TENGAH,SUDIRMMAN SAID,LAKI-LAKI,BREBES,16/04/1963,SWASTA,Dra. IDA FAUZIAH,PEREMPUAN,MOJOKERTO,17/07/1969,ANGGOTA DPR,0,TIDAK,"GERINDRA, PKS, PAN, PKB",,,
